Strain ID,NCD_Status,best matching database-strain species #1,best matching database-strain lineage #1,match distance #1,best matching database-strain species #2,best matching database-strain lineage #2,match distance #2,best matching database-strain species #3,best matching database-strain lineage #3,match distance #3,best matching database-strain species #4,best matching database-strain lineage #4,match distance #4,best matching database-strain species #5,best matching database-strain lineage #5,match distance #5
3,Non NCD,M. tuberculosis,Beijing,0.375000000000000,M. tuberculosis,Beijing,0.416666666666667,M. tuberculosis,Beijing,0.416666666666667,M. tuberculosis,Beijing,0.416666666666667,M. tuberculosis,Beijing,0.416666666666667
6,Non NCD,M. tuberculosis,Beijing,0.416666666666667,M. tuberculosis,Beijing,0.416666666666667,M. tuberculosis,Beijing,0.416666666666667,M. tuberculosis,Beijing,0.416666666666667,M. tuberculosis,Beijing,0.416666666666667
7,Non NCD,M. tuberculosis,Beijing,0.250000000000000,M. tuberculosis,Beijing,0.250000000000000,M. tuberculosis,Beijing,0.291666666666667,M. tuberculosis,Beijing,0.291666666666667,M. tuberculosis,Beijing,0.291666666666667
10,Non NCD,M. tuberculosis,Beijing,0.291666666666667,M. tuberculosis,Beijing,0.333333333333333,M. tuberculosis,Beijing,0.375000000000000,M. tuberculosis,Beijing,0.375000000000000,M. tuberculosis,Beijing,0.375000000000000
13,Non NCD,M. tuberculosis,Beijing,0.375000000000000,M. tuberculosis,Beijing,0.375000000000000,M. tuberculosis,Beijing,0.375000000000000,M. tuberculosis,Beijing,0.375000000000000,M. tuberculosis,Beijing,0.375000000000000
17,Non NCD,M. tuberculosis,Beijing,0.375000000000000,M. tuberculosis,Beijing,0.375000000000000,M. tuberculosis,UgandaI,0.416666666666667,M. tuberculosis,UgandaI,0.416666666666667,M. tuberculosis,UgandaI,0.416666666666667
19,Non NCD,M. tuberculosis,Beijing,0.304347826086957,M. tuberculosis,Beijing,0.347826086956522,M. tuberculosis,UgandaI,0.391304347826087,M. tuberculosis,UgandaI,0.391304347826087,M. tuberculosis,UgandaI,0.391304347826087
23,NCD,M. tuberculosis,Beijing,0.333333333333333,M. tuberculosis,Beijing,0.375000000000000,M. tuberculosis,Beijing,0.375000000000000,M. tuberculosis,Beijing,0.375000000000000,M. tuberculosis,Beijing,0.375000000000000
26,Non NCD,M. tuberculosis,Beijing,0.291666666666667,M. tuberculosis,Beijing,0.333333333333333,M. tuberculosis,Beijing,0.333333333333333,M. tuberculosis,UgandaI,0.375000000000000,M. tuberculosis,Beijing,0.375000000000000
28,Non NCD,M. tuberculosis,Beijing,0.375000000000000,M. tuberculosis,Beijing,0.375000000000000,M. tuberculosis,Beijing,0.375000000000000,M. tuberculosis,Beijing,0.375000000000000,M. tuberculosis,Beijing,0.375000000000000
