,ConditionName,ConditionSNOMED,PathogenName,PathogenTaxonID,Fatalities,CountryName,CountryISO,Admin1Name,Admin1ISO,Admin2Name,CityName,PeriodStartDate,PeriodEndDate,AgeRange,SourceName,CountValue,Year
304099,Tuberculosis,56717001,Mycobacterium tuberculosis,1773,0,UNITED STATES OF AMERICA,US,ALABAMA,US-AL,CALHOUN COUNTY,ANNISTON,1923-02-11,1923-02-17,0-130,US Nationally Notifiable Disease Surveillance System,1,1923
219024,Tuberculosis,56717001,Mycobacterium tuberculosis,1773,0,UNITED STATES OF AMERICA,US,ALABAMA,US-AL,DALLAS COUNTY,SELMA,1923-12-09,1923-12-15,0-130,US Nationally Notifiable Disease Surveillance System,1,1923
315996,Tuberculosis,56717001,Mycobacterium tuberculosis,1773,0,UNITED STATES OF AMERICA,US,ALABAMA,US-AL,ETOWAH COUNTY,GADSDEN,1921-10-23,1921-10-29,0-130,US Nationally Notifiable Disease Surveillance System,1,1921
316480,Tuberculosis,56717001,Mycobacterium tuberculosis,1773,0,UNITED STATES OF AMERICA,US,ALABAMA,US-AL,HOUSTON COUNTY,DOTHAN,1923-03-11,1923-03-17,0-130,US Nationally Notifiable Disease Surveillance System,1,1923
214466,Tuberculosis,56717001,Mycobacterium tuberculosis,1773,0,UNITED STATES OF AMERICA,US,ALABAMA,US-AL,JEFFERSON COUNTY,BESSEMER,1920-10-17,1920-10-23,0-130,US Nationally Notifiable Disease Surveillance System,1,1920
212434,Tuberculosis,56717001,Mycobacterium tuberculosis,1773,1,UNITED STATES OF AMERICA,US,ALABAMA,US-AL,JEFFERSON COUNTY,BIRMINGHAM,1941-01-05,1941-01-11,0-130,US Nationally Notifiable Disease Surveillance System,2,1941
314153,Tuberculosis,56717001,Mycobacterium tuberculosis,1773,0,UNITED STATES OF AMERICA,US,ALABAMA,US-AL,LAUDERDALE COUNTY,FLORENCE,1922-11-05,1922-11-11,0-130,US Nationally Notifiable Disease Surveillance System,3,1922
113540,Tuberculosis,56717001,Mycobacterium tuberculosis,1773,1,UNITED STATES OF AMERICA,US,ALABAMA,US-AL,MOBILE COUNTY,MOBILE,1941-01-05,1941-01-11,0-130,US Nationally Notifiable Disease Surveillance System,0,1941
213299,Tuberculosis,56717001,Mycobacterium tuberculosis,1773,1,UNITED STATES OF AMERICA,US,ALABAMA,US-AL,MONTGOMERY COUNTY,MONTGOMERY,1940-01-14,1940-01-20,0-130,US Nationally Notifiable Disease Surveillance System,0,1940
307433,Tuberculosis,56717001,Mycobacterium tuberculosis,1773,0,UNITED STATES OF AMERICA,US,ALABAMA,US-AL,TUSCALOOSA COUNTY,TUSCALOOSA,1923-01-28,1923-02-03,0-130,US Nationally Notifiable Disease Surveillance System,2,1923
300069,Tuberculosis,56717001,Mycobacterium tuberculosis,1773,0,UNITED STATES OF AMERICA,US,ALASKA,US-AK,KETCHIKAN GATEWAY BOROUGH,KETCHIKAN,1914-06-21,1914-06-27,0-130,US Nationally Notifiable Disease Surveillance System,1,1914
300387,Tuberculosis,56717001,Mycobacterium tuberculosis,1773,1,UNITED STATES OF AMERICA,US,ARIZONA,US-AZ,MARICOPA COUNTY,PHOENIX,1941-05-11,1941-05-17,0-130,US Nationally Notifiable Disease Surveillance System,0,1941
313919,Tuberculosis,56717001,Mycobacterium tuberculosis,1773,1,UNITED STATES OF AMERICA,US,ARIZONA,US-AZ,PIMA COUNTY,TUCSON,1923-01-07,1923-01-13,0-130,US Nationally Notifiable Disease Surveillance System,6,1923
223763,Tuberculosis,56717001,Mycobacterium tuberculosis,1773,1,UNITED STATES OF AMERICA,US,ARKANSAS,US-AR,GARLAND COUNTY,HOT SPRINGS,1922-01-08,1922-01-14,0-130,US Nationally Notifiable Disease Surveillance System,1,1922
310976,Tuberculosis,56717001,Mycobacterium tuberculosis,1773,0,UNITED STATES OF AMERICA,US,ARKANSAS,US-AR,JEFFERSON COUNTY,PINE BLUFF,1920-01-11,1920-01-17,0-130,US Nationally Notifiable Disease Surveillance System,1,1920
209349,Tuberculosis,56717001,Mycobacterium tuberculosis,1773,0,UNITED STATES OF AMERICA,US,ARKANSAS,US-AR,PHILLIPS COUNTY,HELENA,1918-11-10,1918-11-16,0-130,US Nationally Notifiable Disease Surveillance System,1,1918
222660,Tuberculosis,56717001,Mycobacterium tuberculosis,1773,1,UNITED STATES OF AMERICA,US,ARKANSAS,US-AR,PULASKI COUNTY,LITTLE ROCK,1941-01-05,1941-01-11,0-130,US Nationally Notifiable Disease Surveillance System,1,1941
303980,Tuberculosis,56717001,Mycobacterium tuberculosis,1773,0,UNITED STATES OF AMERICA,US,ARKANSAS,US-AR,PULASKI COUNTY,NORTH LITTLE ROCK,1923-03-11,1923-03-17,0-130,US Nationally Notifiable Disease Surveillance System,1,1923
196174,Tuberculosis,56717001,Mycobacterium tuberculosis,1773,1,UNITED STATES OF AMERICA,US,ARKANSAS,US-AR,SEBASTIAN COUNTY,FORT SMITH,1940-12-01,1940-12-07,0-130,US Nationally Notifiable Disease Surveillance System,0,1940
202638,Tuberculosis,56717001,Mycobacterium tuberculosis,1773,0,UNITED STATES OF AMERICA,US,CALIFORNIA,US-CA,ALAMEDA COUNTY,ALAMEDA,1923-01-14,1923-01-20,0-130,US Nationally Notifiable Disease Surveillance System,1,1923
275122,Tuberculosis,56717001,Mycobacterium tuberculosis,1773,0,UNITED STATES OF AMERICA,US,CALIFORNIA,US-CA,ALAMEDA COUNTY,BERKELEY,1923-01-07,1923-01-13,0-130,US Nationally Notifiable Disease Surveillance System,2,1923
108097,Tuberculosis,56717001,Mycobacterium tuberculosis,1773,0,UNITED STATES OF AMERICA,US,CALIFORNIA,US-CA,ALAMEDA COUNTY,OAKLAND,1923-01-07,1923-01-13,0-130,US Nationally Notifiable Disease Surveillance System,4,1923
314809,Tuberculosis,56717001,Mycobacterium tuberculosis,1773,0,UNITED STATES OF AMERICA,US,CALIFORNIA,US-CA,CONTRA COSTA COUNTY,RICHMOND,1923-01-07,1923-01-13,0-130,US Nationally Notifiable Disease Surveillance System,1,1923
276103,Tuberculosis,56717001,Mycobacterium tuberculosis,1773,0,UNITED STATES OF AMERICA,US,CALIFORNIA,US-CA,FRESNO COUNTY,FRESNO,1920-10-03,1920-10-09,0-130,US Nationally Notifiable Disease Surveillance System,2,1920
300457,Tuberculosis,56717001,Mycobacterium tuberculosis,1773,0,UNITED STATES OF AMERICA,US,CALIFORNIA,US-CA,HUMBOLDT COUNTY,EUREKA,1923-01-21,1923-01-27,0-130,US Nationally Notifiable Disease Surveillance System,1,1923
307153,Tuberculosis,56717001,Mycobacterium tuberculosis,1773,0,UNITED STATES OF AMERICA,US,CALIFORNIA,US-CA,KERN COUNTY,BAKERSFIELD,1923-03-11,1923-03-17,0-130,US Nationally Notifiable Disease Surveillance System,1,1923
314601,Tuberculosis,56717001,Mycobacterium tuberculosis,1773,0,UNITED STATES OF AMERICA,US,CALIFORNIA,US-CA,LOS ANGELES COUNTY,GLENDALE,1923-07-15,1923-07-21,0-130,US Nationally Notifiable Disease Surveillance System,1,1923
290582,Tuberculosis,56717001,Mycobacterium tuberculosis,1773,0,UNITED STATES OF AMERICA,US,CALIFORNIA,US-CA,LOS ANGELES COUNTY,LONG BEACH,1923-01-07,1923-01-13,0-130,US Nationally Notifiable Disease Surveillance System,1,1923
234648,Tuberculosis,56717001,Mycobacterium tuberculosis,1773,1,UNITED STATES OF AMERICA,US,CALIFORNIA,US-CA,LOS ANGELES COUNTY,LOS ANGELES,1941-01-05,1941-01-11,0-130,US Nationally Notifiable Disease Surveillance System,31,1941
291134,Tuberculosis,56717001,Mycobacterium tuberculosis,1773,0,UNITED STATES OF AMERICA,US,CALIFORNIA,US-CA,LOS ANGELES COUNTY,PASADENA,1923-01-07,1923-01-13,0-130,US Nationally Notifiable Disease Surveillance System,3,1923
307232,Tuberculosis,56717001,Mycobacterium tuberculosis,1773,0,UNITED STATES OF AMERICA,US,CALIFORNIA,US-CA,LOS ANGELES COUNTY,POMONA,1919-03-23,1919-03-29,0-130,US Nationally Notifiable Disease Surveillance System,2,1919
298897,Tuberculosis,56717001,Mycobacterium tuberculosis,1773,0,UNITED STATES OF AMERICA,US,CALIFORNIA,US-CA,LOS ANGELES COUNTY,SOUTH PASADENA,1911-09-10,1911-09-16,0-130,US Nationally Notifiable Disease Surveillance System,3,1911
307305,Tuberculosis,56717001,Mycobacterium tuberculosis,1773,0,UNITED STATES OF AMERICA,US,CALIFORNIA,US-CA,ORANGE COUNTY,SANTA ANA,1923-04-08,1923-04-14,0-130,US Nationally Notifiable Disease Surveillance System,1,1923
309157,Tuberculosis,56717001,Mycobacterium tuberculosis,1773,0,UNITED STATES OF AMERICA,US,CALIFORNIA,US-CA,RIVERSIDE COUNTY,RIVERSIDE,1923-01-14,1923-01-20,0-130,US Nationally Notifiable Disease Surveillance System,1,1923
266035,Tuberculosis,56717001,Mycobacterium tuberculosis,1773,1,UNITED STATES OF AMERICA,US,CALIFORNIA,US-CA,SACRAMENTO COUNTY,SACRAMENTO,1941-01-05,1941-01-11,0-130,US Nationally Notifiable Disease Surveillance System,3,1941
306994,Tuberculosis,56717001,Mycobacterium tuberculosis,1773,0,UNITED STATES OF AMERICA,US,CALIFORNIA,US-CA,SAN BERNARDINO COUNTY,REDLANDS,1920-01-18,1920-01-24,0-130,US Nationally Notifiable Disease Surveillance System,1,1920
